Player,MP,FG,FGA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,Pos,height in inches,weight,3Pper min,FTper min,TRBper min,ASTper min,STLper min,BLKper min,TOVper min,PTSper min,3P per min,FT per min,TRB per min,AST per min,STL per min,BLK per min,TOV per min,PTS per min,FG%,3P%,FT%
A.C. Green,39044.0,4778.0,9686.0,125.0,509.0,3247.0,4447.0,10129.0,1469.0,1103.0,562.0,1508.0,12928.0,PF,81,220.0,0.0032015162380903597,0.08316258580063518,0.259425263804938,0.03762421883003791,0.028250179284909332,0.014394017006454258,0.0386230918963221,0.33111361540825734,0.0032015162380903597,0.08316258580063518,0.259425263804938,0.03762421883003791,0.028250179284909332,0.014394017006454258,0.0386230918963221,0.33111361540825734,0.4932892835019616,0.2455795677799607,0.73015516078255
A.J. English,3108.0,617.0,1418.0,9.0,65.0,259.0,333.0,315.0,320.0,57.0,24.0,203.0,1502.0,SG,75,175.0,0.0028957528957528956,0.08333333333333333,0.10135135135135136,0.10296010296010295,0.01833976833976834,0.007722007722007722,0.06531531531531531,0.48326898326898327,0.0028957528957528956,0.08333333333333333,0.10135135135135136,0.10296010296010295,0.01833976833976834,0.007722007722007722,0.06531531531531531,0.48326898326898327,0.43511988716502115,0.13846153846153847,0.7777777777777778
A.J. Guyton,1246.0,166.0,440.0,73.0,193.0,37.0,45.0,80.0,147.0,20.0,12.0,62.0,442.0,PG,73,180.0,0.058587479935794544,0.02969502407704655,0.06420545746388442,0.11797752808988764,0.016051364365971106,0.009630818619582664,0.04975922953451043,0.3547351524879615,0.058587479935794544,0.02969502407704655,0.06420545746388442,0.11797752808988764,0.016051364365971106,0.009630818619582664,0.04975922953451043,0.3547351524879615,0.37727272727272726,0.37823834196891193,0.8222222222222222
A.J. Hammons,163.0,17.0,42.0,5.0,10.0,9.0,20.0,36.0,4.0,1.0,13.0,10.0,48.0,C,84,260.0,0.03067484662576687,0.05521472392638037,0.22085889570552147,0.024539877300613498,0.006134969325153374,0.07975460122699386,0.06134969325153374,0.294478527607362,0.03067484662576687,0.05521472392638037,0.22085889570552147,0.024539877300613498,0.006134969325153374,0.07975460122699386,0.06134969325153374,0.294478527607362,0.40476190476190477,0.5,0.45
A.J. Price,4253.0,600.0,1581.0,233.0,747.0,223.0,303.0,409.0,613.0,132.0,9.0,243.0,1656.0,PG,74,181.0,0.054784857747472375,0.052433576299083,0.09616741123912532,0.14413355278626852,0.031036915118739714,0.002116153303550435,0.057136139195861746,0.38937220785328003,0.054784857747472375,0.052433576299083,0.09616741123912532,0.14413355278626852,0.031036915118739714,0.002116153303550435,0.057136139195861746,0.38937220785328003,0.3795066413662239,0.3119143239625167,0.735973597359736
Aaron Brooks,17088.0,2829.0,6893.0,1025.0,2805.0,1156.0,1371.0,1360.0,2485.0,469.0,113.0,1272.0,7839.0,PG,72,161.0,0.059983614232209735,0.0676498127340824,0.07958801498127341,0.14542368913857678,0.02744616104868914,0.006612827715355805,0.07443820224719101,0.4587429775280899,0.059983614232209735,0.0676498127340824,0.07958801498127341,0.14542368913857678,0.02744616104868914,0.006612827715355805,0.07443820224719101,0.4587429775280899,0.41041636442768026,0.36541889483065954,0.8431801604668125
Aaron Gordon,4958.0,760.0,1652.0,132.0,457.0,329.0,471.0,1081.0,311.0,144.0,117.0,193.0,1981.0,PF,81,220.0,0.026623638563937072,0.0663574021782977,0.21803146430012102,0.0627269060104881,0.029043969342476807,0.023598225090762405,0.03892698668818072,0.39955627269060107,0.026623638563937072,0.0663574021782977,0.21803146430012102,0.0627269060104881,0.029043969342476807,0.023598225090762405,0.03892698668818072,0.39955627269060107,0.4600484261501211,0.2888402625820569,0.6985138004246284
Aaron Gray,4517.0,509.0,1007.0,0.0,4.0,217.0,379.0,1407.0,251.0,113.0,106.0,314.0,1235.0,C,84,270.0,0.0,0.04804073500110693,0.31148992694266103,0.05556785477086562,0.025016603940668587,0.02346690281160062,0.06951516493247731,0.2734115563427053,0.0,0.04804073500110693,0.31148992694266103,0.05556785477086562,0.025016603940668587,0.02346690281160062,0.06951516493247731,0.2734115563427053,0.5054617676266137,0.0,0.5725593667546174
Aaron Harrison,110.0,5.0,23.0,3.0,12.0,6.0,14.0,18.0,5.0,6.0,0.0,4.0,19.0,SG,78,210.0,0.02727272727272727,0.05454545454545454,0.16363636363636364,0.045454545454545456,0.05454545454545454,0.0,0.03636363636363636,0.17272727272727273,0.02727272727272727,0.05454545454545454,0.16363636363636364,0.045454545454545456,0.05454545454545454,0.0,0.03636363636363636,0.17272727272727273,0.21739130434782608,0.25,0.42857142857142855
Aaron McKie,22594.0,2554.0,5923.0,441.0,1275.0,1087.0,1389.0,3039.0,2462.0,1090.0,199.0,1225.0,6636.0,SG,77,209.0,0.019518456227316988,0.0481101177303709,0.13450473577055855,0.1089669823847039,0.048242896344162164,0.008807648048154378,0.054217933964769406,0.2937062937062937,0.019518456227316988,0.0481101177303709,0.13450473577055855,0.1089669823847039,0.048242896344162164,0.008807648048154378,0.054217933964769406,0.2937062937062937,0.4312004052000675,0.3458823529411765,0.7825773938084953
